' ',0.24650178894506058
',',1.5844941965254402E-2
'.',1.4864027411503847E-2
'0',5.6770739370298195E-5
'1',1.7659891072572626E-4
'2',6.953463043677463E-5
'3',6.267642031150371E-5
'4',1.752653698680347E-5
'5',1.5430972781859578E-5
'6',1.1811361882411033E-5
'7',7.620233472523248E-6
'8',7.429727635710167E-6
'9',1.804090274619879E-4
'A',8.474652150629917E-3
'B',2.9360759569632073E-3
'C',4.095113468133993E-3
'D',2.987512532902739E-3
'E',8.112119543174624E-3
'F',2.231204360754807E-3
'G',2.1266166563444254E-3
'H',3.516928253406292E-3
'I',1.0631178223353997E-2
'J',3.9358505885582576E-4
'K',1.1801836590570381E-3
'L',4.5448977488496784E-3
'M',3.023518136060412E-3
'N',5.2078580609592005E-3
'O',6.3263178288888E-3
'P',2.2742586798745633E-3
'Q',2.2422536992899658E-4
'R',5.518763586638149E-3
'S',6.479103510012891E-3
'T',7.581941799323819E-3
'U',2.691466462495211E-3
'V',6.818203899540176E-4
'W',3.1423937782317744E-3
'X',1.1525603127191413E-4
'Y',1.7332221033254127E-3
'Z',1.0115859934774611E-4
'a',4.6609729552198886E-2
'b',8.866522656954425E-3
'c',1.2704262739553945E-2
'd',2.5485489837180377E-2
'e',7.708247169130891E-2
'f',1.3107182584413613E-2
'g',1.0865309896797274E-2
'h',4.1607427289160996E-2
'i',3.775501825712687E-2
'j',5.164613236002631E-4
'k',5.564865999146915E-3
'l',2.7844333108599947E-2
'm',1.8208357376757488E-2
'n',4.113459180219093E-2
'o',5.360643742083292E-2
'p',8.86309355189179E-3
'q',4.577855258618341E-4
'r',3.979533576939497E-2
's',4.095437328056575E-2
't',5.524173952403641E-2
'u',2.1873308665367543E-2
'v',6.474912381603004E-3
'w',1.3886541962815928E-2
'x',8.929008571429116E-4
'y',1.6244432705051434E-2
'z',2.0917540882076316E-4
